,link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,bairro,latitude,longitude,região
0,https://www.quintoandar.com.br/imovel/894441810/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,389.0,450.0,62.0,2,86,2,2,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9351007,-47.0598796,1
1,https://www.quintoandar.com.br/imovel/893764455/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,395.0,380.0,101.0,2,110,2,3,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9329903,-47.060889,1
2,https://www.quintoandar.com.br/imovel/893513411/comprar/apartamento-2-quartos-jardim-proenca-campinas,315.0,500.0,50.0,2,82,1,2,8° a 11° andar,Sem mobília,jardim proenca campinas,-22.9163209,-47.044068,2
3,https://www.quintoandar.com.br/imovel/894434330/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,345.0,16.0,14.0,2,56,1,1,12° a 15° andar,Sem mobília,jardim nova europa campinas,-22.9297222,-47.0589482,1
4,https://www.quintoandar.com.br/imovel/894388854/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,395.0,465.0,83.0,2,102,1,2,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9305711,-47.0570666,1
5,https://www.quintoandar.com.br/imovel/893516235/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,315.0,400.0,40.0,2,66,1,1,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9331199,-47.0601077,1
6,https://www.quintoandar.com.br/imovel/894460474/comprar/apartamento-3-quartos-sao-bernardo-campinas,380.0,525.0,67.0,3,76,1,1,4° a 7° andar,Sem mobília,sao bernardo campinas,-22.9282964,-47.0750686,0
7,https://www.quintoandar.com.br/imovel/894459388/comprar/apartamento-2-quartos-centro-campinas,255.0,733.0,100.0,2,82,1,2,Até 3° andar,Sem mobília,centro campinas,-22.9087817,-47.0609907,2
8,https://www.quintoandar.com.br/imovel/893778846/comprar/apartamento-2-quartos-vila-anhanguera-campinas,350.0,380.0,60.0,2,43,1,1,16° a 19° andar,Sem mobília,vila anhanguera campinas,-22.9163545,-47.0843477,0
9,https://www.quintoandar.com.br/imovel/894459057/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,320.0,350.0,75.0,3,66,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9305711,-47.0570666,1
10,https://www.quintoandar.com.br/imovel/894312238/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,390.0,300.0,38.0,2,120,1,3,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9305711,-47.0570666,1
11,https://www.quintoandar.com.br/imovel/893516715/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,370.0,730.0,80.0,2,94,1,2,4° a 7° andar,Sem mobília,vila joao jorge campinas,-22.91798,-47.0590623,2
12,https://www.quintoandar.com.br/imovel/894398311/comprar/apartamento-3-quartos-vila-industrial-campinas-campinas,322.0,550.0,75.0,3,67,1,1,Até 3° andar,Sem mobília,vila industrial campinas campinas,-22.9103952,-47.0767132,2
13,https://www.quintoandar.com.br/imovel/893176123/comprar/apartamento-2-quartos-country-ville-campinas,235.0,300.0,24.0,2,63,1,1,Até 3° andar,Sem mobília,country ville campinas,-22.9494537,-47.0961687,0
14,https://www.quintoandar.com.br/imovel/894199453/comprar/apartamento-3-quartos-centro-campinas,330.0,1.1,220.0,3,205,1,2,Até 3° andar,Sem mobília,centro campinas,-22.908001,-47.0627274,2
15,https://www.quintoandar.com.br/imovel/894354204/comprar/apartamento-3-quartos-vila-campos-sales-campinas,325.0,330.0,0.0,3,70,1,2,Até 3° andar,Sem mobília,vila campos sales campinas,-22.9305711,-47.0570666,1
16,https://www.quintoandar.com.br/imovel/894430858/comprar/apartamento-3-quartos-ponte-preta-campinas,230.0,700.0,62.0,3,53,1,2,4° a 7° andar,Sem mobília,ponte preta campinas,-22.9144109,-47.058397,2
17,https://www.quintoandar.com.br/imovel/893942946/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,280.0,400.0,14.0,2,53,1,2,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9332582,-47.0602574,1
18,https://www.quintoandar.com.br/imovel/893936420/comprar/apartamento-2-quartos-ponte-preta-campinas,375.0,790.0,117.0,2,87,1,2,4° a 7° andar,Sem mobília,ponte preta campinas,-22.9153683,-47.0558312,2
19,https://www.quintoandar.com.br/imovel/893804208/comprar/apartamento-3-quartos-jardim-flamboyant-campinas,358.0,842.0,193.0,3,105,1,2,4° a 7° andar,Sem mobília,jardim flamboyant campinas,-22.8857437,-47.0275123,2
20,https://www.quintoandar.com.br/imovel/894431674/comprar/apartamento-2-quartos-jardim-do-lago-campinas,250.0,400.0,50.0,2,48,1,1,Até 3° andar,Sem mobília,jardim do lago campinas,-22.9354976,-47.0862505,0
21,https://www.quintoandar.com.br/imovel/894413728/comprar/apartamento-2-quartos-vila-marieta-campinas,203.0,432.0,54.0,2,80,1,1,Até 3° andar,Sem mobília,vila marieta campinas,-22.9294739,-47.0541131,1
22,https://www.quintoandar.com.br/imovel/894434670/comprar/apartamento-2-quartos-jardim-do-lago-continuacao-campinas,170.0,170.0,0.0,2,56,1,1,4° a 7° andar,Sem mobília,jardim do lago continuacao campinas,-22.953107,-47.0872573,0
23,https://www.quintoandar.com.br/imovel/892887807/comprar/apartamento-3-quartos-chacara-da-barra-campinas,325.0,320.0,66.0,3,82,2,2,Até 3° andar,Mobiliado,chacara da barra campinas,-22.8893852,-47.0416533,2
24,https://www.quintoandar.com.br/imovel/893698303/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,272.0,280.0,38.0,2,49,1,2,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.930534,-47.0571236,1
25,https://www.quintoandar.com.br/imovel/894315353/comprar/apartamento-2-quartos-parque-prado-campinas,240.0,430.0,38.0,2,68,1,2,Até 3° andar,Sem mobília,parque prado campinas,-22.9294739,-47.0541131,1
26,https://www.quintoandar.com.br/imovel/894236452/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,330.0,360.0,48.0,3,60,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9351007,-47.0598796,1
27,https://www.quintoandar.com.br/imovel/892791604/comprar/apartamento-2-quartos-vila-industrial-campinas,270.0,500.0,63.0,2,70,1,1,Até 3° andar,Sem mobília,vila industrial campinas,-22.9111679,-47.0700987,2
28,https://www.quintoandar.com.br/imovel/893768311/comprar/apartamento-2-quartos-jardim-dos-oliveiras-campinas,210.0,425.0,25.0,2,58,1,1,4° a 7° andar,Sem mobília,jardim dos oliveiras campinas,-22.9422972,-47.0393654,1
29,https://www.quintoandar.com.br/imovel/894461287/comprar/apartamento-2-quartos-jardim-campos-eliseos-campinas,210.0,400.0,15.0,2,58,1,1,Até 3° andar,Sem mobília,jardim campos eliseos campinas,-22.9180653,-47.1005332,0
30,https://www.quintoandar.com.br/imovel/894456137/comprar/apartamento-2-quartos-jardim-das-bandeiras-campinas,210.0,280.0,55.0,2,63,1,1,Até 3° andar,Sem mobília,jardim das bandeiras campinas,-22.9468441,-47.0867628,0
31,https://www.quintoandar.com.br/imovel/894137665/comprar/apartamento-3-quartos-vila-marieta-campinas,220.0,510.0,8.0,3,96,1,1,Até 3° andar,Sem mobília,vila marieta campinas,-22.9296163,-47.053281,1
32,https://www.quintoandar.com.br/imovel/894349158/comprar/apartamento-2-quartos-jardim-chapadao-campinas,275.0,320.0,46.0,2,68,1,1,Até 3° andar,Sem mobília,jardim chapadao campinas,-22.8859989,-47.0723724,2
33,https://www.quintoandar.com.br/imovel/892810475/comprar/apartamento-2-quartos-jardim-quarto-centenario-campinas,270.0,439.0,69.0,2,80,1,2,Até 3° andar,Mobiliado,jardim quarto centenario campinas,-22.8966826,-47.0941144,0
34,https://www.quintoandar.com.br/imovel/894220948/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,330.0,400.0,68.0,2,105,2,2,4° a 7° andar,Sem mobília,jardim nova europa campinas,-22.9351007,-47.0598796,1
35,https://www.quintoandar.com.br/imovel/894306203/comprar/apartamento-2-quartos-jardim-do-lago-campinas,290.0,320.0,55.0,2,52,1,1,Até 3° andar,Sem mobília,jardim do lago campinas,-22.9373516,-47.0873239,0
36,https://www.quintoandar.com.br/imovel/894325631/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,287.0,404.0,39.0,2,51,1,2,Até 3° andar,Sem mobília,jardim nova europa campinas,-22.9351782,-47.058264,1
37,https://www.quintoandar.com.br/imovel/893227275/comprar/apartamento-2-quartos-jardim-guanabara-campinas,350.0,730.0,57.0,2,82,1,1,Até 3° andar,Sem mobília,jardim guanabara campinas,-22.8870285,-47.0609258,2
38,https://www.quintoandar.com.br/imovel/893932356/comprar/apartamento-2-quartos-vila-industrial-campinas,370.0,450.0,92.0,2,52,1,1,8° a 11° andar,Sem mobília,vila industrial campinas,-22.9110704,-47.0616003,2
