iter	RMSE
0	149264.9868
1	129150.028
2	116815.1661
3	110035.9473
4	106326.2399
5	104139.3189
6	102391.3863
7	101611.7605
8	100518.8063
9	99642.44171
10	99012.95851
11	98368.32896
12	97902.27789
13	97449.60368
14	97148.69133
15	96682.87779
16	96265.53442
17	95870.75289
18	95645.82199
19	95376.35973
20	95105.71799
21	94638.11883
22	94036.64666
23	93807.48528
24	93509.65561
25	93279.37009
26	92768.86792
27	92566.04825
28	92436.82239
29	92030.90988
30	91732.49276
31	91510.84344
32	91196.90255
33	90899.84529
34	90590.16215
35	90316.31904
36	90186.35418
37	90015.53629
38	89644.83756
39	89442.74648
40	89016.11042
41	88847.04262
42	88730.55181
43	88625.66964
44	88371.28075
45	88226.17928
46	88122.81761
47	87994.15196
48	87892.06302
49	87709.68037
50	87585.55278
51	87317.64891
52	87182.2185
53	87063.78115
54	86983.59651
55	86854.36681
56	86619.76609
57	86336.86242
58	86211.34098
59	86151.05383
60	86066.73596
61	85823.20904
62	85739.64593
63	85674.86842
64	85524.26727
65	85461.45543
66	85334.17978
67	85273.1028
68	85116.87679
69	85040.52186
