iter	Passed	Remaining
0	0	47
1	1	43
2	1	41
3	2	39
4	2	38
5	3	37
6	4	36
7	4	35
8	5	34
9	5	34
10	6	35
11	7	35
12	8	35
13	8	34
14	9	34
15	10	34
16	10	34
17	11	34
18	12	34
19	13	33
20	13	32
21	14	31
22	15	31
23	15	30
24	16	29
25	17	29
26	17	28
27	18	27
28	19	27
29	19	26
30	20	25
31	20	24
32	21	23
33	21	23
34	22	22
35	23	21
36	23	21
37	24	20
38	24	19
39	25	19
40	26	18
41	26	17
42	27	17
43	27	16
44	28	15
45	28	15
46	29	14
47	30	13
48	30	13
49	31	12
50	32	11
51	32	11
52	33	10
53	33	10
54	34	9
55	34	8
56	35	8
57	36	7
58	36	6
59	37	6
60	37	5
61	38	4
62	39	4
63	39	3
64	40	3
65	40	2
66	41	1
67	42	1
68	42	0
69	43	0
