link,valor,condominio,iptu,quartos,tamanho,vagas,banheiros,andar,mobilia,localização
https://www.quintoandar.com.br/imovel/894441810/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,389.0,450.0,12x R$ 62,2.0,86.0,2.0,2.0,4° a 7° andar,Sem mobília,"22.9351007,-47.0598796"
https://www.quintoandar.com.br/imovel/893764455/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,395.0,380.0,12x R$ 101,2.0,110.0,2.0,3.0,4° a 7° andar,Sem mobília,"-22.9329903,-47.060889"
https://www.quintoandar.com.br/imovel/893513411/comprar/apartamento-2-quartos-jardim-proenca-campinas,315.0,500.0,12x R$ 50,2.0,82.0,1.0,2.0,8° a 11° andar,Sem mobília,"-22.9163209,-47.044068"
https://www.quintoandar.com.br/imovel/894434330/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,345.0,16.0,12x R$ 14,2.0,56.0,1.0,1.0,12° a 15° andar,Sem mobília,"22.9297222,-47.0589482"
https://www.quintoandar.com.br/imovel/894388854/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,395.0,465.0,12x R$ 83,2.0,102.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9305711,-47.0570666"
https://www.quintoandar.com.br/imovel/893516235/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,315.0,400.0,12x R$ 40,2.0,66.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9331199,-47.0601077"
https://www.quintoandar.com.br/imovel/894460474/comprar/apartamento-3-quartos-sao-bernardo-campinas,380.0,525.0,12x R$ 67,3.0,76.0,1.0,1.0,4° a 7° andar,Sem mobília,"22.9282964,-47.0750686"
https://www.quintoandar.com.br/imovel/894459388/comprar/apartamento-2-quartos-centro-campinas,255.0,733.0,12x R$ 100,2.0,82.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9087817,-47.0609907"
https://www.quintoandar.com.br/imovel/893778846/comprar/apartamento-2-quartos-vila-anhanguera-campinas,350.0,380.0,12x R$ 60,2.0,43.0,1.0,1.0,16° a 19° andar,Sem mobília,"22.9163545,-47.0843477"
https://www.quintoandar.com.br/imovel/894459057/comprar/apartamento-3-quartos-jardim-nova-europa-campinas,320.0,350.0,12x R$ 75,3.0,66.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9305711,-47.0570666"
https://www.quintoandar.com.br/imovel/894312238/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,390.0,300.0,12x R$ 38,2.0,120.0,1.0,3.0,4° a 7° andar,Sem mobília,"22.9305711,-47.0570666"
https://www.quintoandar.com.br/imovel/893516715/comprar/apartamento-2-quartos-vila-joao-jorge-campinas,370.0,730.0,12x R$ 80,2.0,94.0,1.0,2.0,4° a 7° andar,Sem mobília,"=-22.91798,-47.0590623"
https://www.quintoandar.com.br/imovel/894398311/comprar/apartamento-3-quartos-vila-industrial-campinas-campinas,322.0,550.0,12x R$ 75,3.0,67.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9103952,-47.0767132"
https://www.quintoandar.com.br/imovel/893176123/comprar/apartamento-2-quartos-country-ville-campinas,235.0,300.0,12x R$ 24,2.0,63.0,1.0,1.0,Até 3° andar,Sem mobília,"22.9494537,-47.0961687"
https://www.quintoandar.com.br/imovel/894199453/comprar/apartamento-3-quartos-centro-campinas,330.0,1.1,12x R$ 220,3.0,205.0,1.0,2.0,Até 3° andar,Sem mobília,"-22.908001,-47.0627274"
https://www.quintoandar.com.br/imovel/894354204/comprar/apartamento-3-quartos-vila-campos-sales-campinas,325.0,330.0,12x R$ 0,3.0,70.0,1.0,2.0,Até 3° andar,Sem mobília,"22.9305711,-47.0570666"
https://www.quintoandar.com.br/imovel/894430858/comprar/apartamento-3-quartos-ponte-preta-campinas,230.0,700.0,12x R$ 62,3.0,53.0,1.0,2.0,4° a 7° andar,Sem mobília,"-22.9144109,-47.058397"
https://www.quintoandar.com.br/imovel/893942946/comprar/apartamento-2-quartos-jardim-nova-europa-campinas,280.0,400.0,12x R$ 14,2.0,53.0,1.0,2.0,4° a 7° andar,Sem mobília,"22.9332582,-47.0602574"
