Player_id,Team_id,Tournament_id,Champion_id,Role,GameId,PlayerWin,Gamelength Number,Kills,Deaths,Assists,Gold,CS,DamageToChampions,VisionScore
1,82,27,2,Mid,LPL/2024 Season/Spring Season_Week 8_17_1,No,27.033333333333,1,2,3,9017,233,10560,48
1,82,27,2,Mid,LPL/2024 Season/Spring Season_Week 8_17_2,No,29.45,3,2,3,10925,258,10944,58
1,82,27,57,Mid,LPL/2024 Season/Spring Season_Week 8_7_1,No,24.816666666667,0,3,3,7934,198,16007,21
1,82,27,2,Mid,LPL/2024 Season/Spring Season_Week 8_7_2,Yes,31.283333333333,4,3,7,13077,269,19929,43
1,82,27,57,Mid,LPL/2024 Season/Spring Season_Week 8_7_3,Yes,42.383333333333,3,1,10,16085,308,30585,67
2,39,33,12,Mid,PCS/2024 Season/Spring Season_Week 1_1_1,Yes,36.566666666667,3,1,5,17000,373,25064,58
2,39,33,12,Mid,PCS/2024 Season/Spring Season_Week 1_1_2,No,36.916666666667,1,3,3,12871,306,27227,50
2,39,33,88,Mid,PCS/2024 Season/Spring Season_Week 1_1_3,Yes,32.366666666667,4,2,14,13606,274,20467,41
2,39,33,88,Mid,PCS/2024 Season/Spring Season_Week 1_5_1,Yes,25.033333333333,5,2,5,11308,209,16453,21
2,39,33,12,Mid,PCS/2024 Season/Spring Season_Week 1_5_2,Yes,25.95,9,3,7,12520,206,20334,37
2,39,33,51,Mid,PCS/2024 Season/Spring Season_Week 2_4_1,Yes,39.85,4,3,11,17144,361,37739,61
2,39,33,68,Mid,PCS/2024 Season/Spring Season_Week 2_4_2,No,32.55,6,5,8,14456,285,23392,39
2,39,33,135,Mid,PCS/2024 Season/Spring Season_Week 2_4_3,Yes,23.466666666667,7,1,11,13579,228,22749,32
2,39,33,94,Mid,PCS/2024 Season/Spring Season_Week 3_1_1,Yes,40.116666666667,2,2,12,15046,323,22355,49
2,39,33,88,Mid,PCS/2024 Season/Spring Season_Week 3_1_2,No,34.316666666667,1,3,5,12210,259,12118,39
2,39,33,94,Mid,PCS/2024 Season/Spring Season_Week 3_1_3,No,28.116666666667,1,4,4,8896,210,14097,38
2,39,33,12,Mid,PCS/2024 Season/Spring Season_Week 3_6_1,No,25.933333333333,3,4,1,10147,243,14043,26
2,39,33,12,Mid,PCS/2024 Season/Spring Season_Week 3_6_2,No,29.166666666667,0,6,4,11082,281,14111,31
2,39,33,94,Mid,PCS/2024 Season/Spring Season_Week 4_2_1,No,28.55,1,3,4,10453,242,16064,35
2,39,33,88,Mid,PCS/2024 Season/Spring Season_Week 4_2_2,Yes,29.416666666667,4,1,12,14093,270,12779,30
2,39,33,3,Mid,PCS/2024 Season/Spring Season_Week 4_2_3,Yes,30.35,11,1,7,15622,286,23405,37
2,39,33,44,Mid,PCS/2024 Season/Spring Season_Week 4_5_1,Yes,28.583333333333,10,1,5,14737,267,27743,51
2,39,33,44,Mid,PCS/2024 Season/Spring Season_Week 4_5_2,Yes,27.916666666667,7,0,11,13483,247,21416,44
2,39,33,44,Mid,PCS/2024 Season/Spring Season_Week 5_3_1,No,29.266666666667,1,2,6,10688,253,23465,34
2,39,33,44,Mid,PCS/2024 Season/Spring Season_Week 5_3_2,No,34.116666666667,4,3,2,13907,305,30056,35
2,39,33,57,Mid,PCS/2024 Season/Spring Season_Week 6_2_1,No,26.416666666667,0,6,1,7577,172,14263,26
2,39,33,57,Mid,PCS/2024 Season/Spring Season_Week 6_2_2,Yes,37.866666666667,3,1,9,16151,337,29008,71
2,39,33,44,Mid,PCS/2024 Season/Spring Season_Week 6_2_3,No,29.4,0,4,2,9886,245,18940,29
2,39,33,158,Mid,PCS/2024 Season/Spring Season_Week 6_5_1,Yes,32.5,7,1,5,15587,310,27173,45
2,39,33,57,Mid,PCS/2024 Season/Spring Season_Week 6_5_2,No,33.4,1,4,6,11097,249,24722,37
2,39,33,57,Mid,PCS/2024 Season/Spring Season_Week 6_5_3,Yes,27.733333333333,2,1,11,10806,244,15626,29
2,39,34,158,Mid,PCS/2024 Season/Spring Playoffs_Stage 1 Day 1_1_1,Yes,26.183333333333,2,1,14,12250,247,12954,28
2,39,34,44,Mid,PCS/2024 Season/Spring Playoffs_Stage 1 Day 1_1_2,Yes,34.866666666667,4,1,7,13196,278,37838,53
2,39,34,88,Mid,PCS/2024 Season/Spring Playoffs_Stage 1 Day 3_1_1,Yes,36.1,7,3,14,14490,263,27267,48
