Tournament_id,Region_id,League_id,Name,DateStart,Year,TournamentLevel,IsPlayoffs,DateStart__precision,InProgress,LastGame
1,9,10,CBLOL 2024 Split 1,2024-01-20,2024,Primary,0,1,1,CBLOL/2024 Season/Split 1_Week 4_10_1
2,9,10,CBLOL 2024 Split 1 Playoffs,2024-03-22,2024,Primary,1,1,0,
3,1,6,LCK 2024 Spring,2024-01-17,2024,Primary,0,1,1,LCK/2024 Season/Spring Season_Week 4_6_3
4,1,6,LCK 2024 Spring Playoffs,2024-03-30,2024,Primary,1,1,0,
5,3,13,LCO 2024 Split 1,2024-01-15,2024,Primary,0,1,1,LCO/2024 Season/Split 1_Week 5_7_2
6,3,13,LCO 2024 Split 1 Playoffs,2024-02-26,2024,Primary,1,1,0,
7,4,2,LCS 2024 Spring,2024-01-20,2024,Primary,0,1,1,LCS/2024 Season/Spring Season_Week 4_8_1
8,4,2,LCS 2024 Spring Playoffs,2024-03-14,2024,Primary,1,1,0,
9,7,12,LEC 2024 Season Finals,,2024,Primary,1,,0,
10,7,12,LEC 2024 Spring,2024-03-09,2024,Primary,0,1,0,
11,7,12,LEC 2024 Spring Playoffs,,2024,Primary,1,,0,
12,7,12,LEC 2024 Summer,,2024,Primary,0,,0,
13,7,12,LEC 2024 Summer Playoffs,,2024,Primary,1,,0,
14,7,12,LEC 2024 Winter,2024-01-13,2024,Primary,0,1,0,LEC/2024 Season/Winter Season_Week 3_15_1
15,7,12,LEC 2024 Winter Playoffs,2024-02-03,2024,Primary,1,1,1,LEC/2024 Season/Winter Playoffs_Round 3_1_5
16,3,3,LJL 2024 Spring,2024-01-20,2024,Primary,0,1,1,LJL/2024 Season/Spring Season_Week 4_6_2
17,3,3,LJL 2024 Spring Playoffs,2024-02-24,2024,Primary,1,1,0,
18,5,7,LLA 2024 Opening,2024-01-16,2024,Primary,0,1,1,LLA/2024 Season/Opening Season_Week 5_6_2
19,5,7,LLA 2024 Opening Playoffs,2024-03-05,2024,Primary,1,1,0,
20,2,4,LPL 2024 Spring,2024-01-22,2024,Primary,0,1,0,LPL/2024 Season/Spring Season_Week 3_6_2
21,2,4,LPL 2024 Spring Playoffs,,2024,Primary,1,,0,
23,3,11,PCS 2024 Spring,2024-01-19,2024,Primary,0,1,1,PCS/2024 Season/Spring Season_Week 4_4_2
24,3,11,PCS 2024 Spring Playoffs,2024-03-11,2024,Primary,1,1,0,
25,3,11,PCS 2024 Spring Promotion,2023-10-04,2024,Primary,0,1,0,PCS/2024 Season/Spring Promotion_Round 2_2_3
26,8,1,VCS 2024 Spring,2024-01-20,2024,Primary,0,1,0,VCS/2024 Season/Spring Season_Week 3_8_2
27,8,1,VCS 2024 Spring Playoffs,2024-03-21,2024,Primary,1,1,0,
28,8,1,VCS 2024 Spring Promotion,2023-11-13,2024,Primary,0,1,0,VCS/2024 Season/Spring Promotion_Qualifying Round_2_4
